x,y,Nutriment/Item (unité),Year,Région/Province,Sexe,Âge (en années),code,ref_code
265.880347229763,0.003371744015492,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
280.02308378919497,0.0025238653930039997,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
294.165820348627,0.0018151012790089997,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
308.308556908059,0.00126678948147,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
322.451293467491,0.0008739094776349999,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
336.594030026923,0.000589037099575,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
350.736766586355,0.000351301277776,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
364.879503145787,0.00015755145797600003,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
379.02223970521896,4.628579608712121e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
393.16497626465105,8.21855061734895e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
85.0495987271415,3.23165539435521e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
98.340505621042,2.67231925921162e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
111.631412514942,0.00013494640254499998,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
124.92231940884301,0.000441798389974,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
138.213226302743,0.001028752474394,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
151.504133196644,0.001905230109694,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
164.795040090544,0.0030616794535,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
178.085946984445,0.0044146675607830005,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
191.376853878345,0.0057428786377269996,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
204.66776077224603,0.006803580146325,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
217.958667666146,0.0074562587505419995,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
231.249574560047,0.007637622124748,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
244.540481453947,0.007349583030655,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
257.831388347848,0.006689001840116999,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
271.122295241748,0.005781586160013,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
284.413202135648,0.004744630045949,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
297.704109029549,0.0037158344230790005,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
310.995015923449,0.0027944742681719997,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
324.28592281735,0.002014907373396,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
337.57682971125,0.0013983544304120002,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
350.867736605151,0.0009485769961839999,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
364.158643499051,0.000625726059309,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
377.44955039295195,0.00036884762987399996,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
390.74045728685206,0.00016547635511600001,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
404.03136418075303,4.88287764144166e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
417.32227107465303,8.697237333643581e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,4 à 8 ans,3,241
31.198402351911696,2.1760448811630298e-06,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
52.94222489617471,1.88525523241267e-05,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
74.6860474404377,0.00010044526075700001,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
96.42986998470059,0.000349024710964,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
118.17369252896401,0.0008572553627569999,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
139.917515073227,0.001627584436184,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
161.66133761748998,0.002569083767349,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
183.405160161753,0.0035189554124950002,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
205.148982706015,0.004283549610217,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
226.892805250278,0.004730723744869001,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
248.63662779454103,0.004825851850547,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
270.380450338804,0.004599463819887,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
292.124272883067,0.004134191324647,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
313.86809542733,0.0035363232773270004,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
335.611917971593,0.002894660496084,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
357.35574051585604,0.002279072431736,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
379.099563060119,0.0017386044347200002,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
400.84338560438204,0.001291075237123,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
422.587208148645,0.0009334848841560001,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
444.33103069290803,0.000656734975848,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
466.074853237171,0.000453002847694,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
487.818675781434,0.00031039708282099997,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
509.56249832569705,0.000195899183195,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
